CO2,amp,Website
1.8528104691935328,AMP,Website Emissions.com
1.5800314416734447,AMP,Website Emissions.com
1.695747596821148,AMP,Website Emissions.com
1.9481786398402916,AMP,Website Emissions.com
1.8735115980299935,AMP,Website Emissions.com
1.3045444240247177,AMP,Website Emissions.com
1.690017683505118,AMP,Website Emissions.com
1.4697285583404605,AMP,Website Emissions.com
1.4793562296412883,AMP,Website Emissions.com
1.5821197003876746,AMP,Website Emissions.com
1.5288087142321756,AMP,Website Emissions.com
1.790854701392595,AMP,Website Emissions.com
1.6522075450293987,AMP,Website Emissions.com
1.5243350032985656,AMP,Website Emissions.com
1.5887726465490852,AMP,Website Emissions.com
1.5667348654748534,AMP,Website Emissions.com
1.7988158146315212,AMP,Website Emissions.com
1.4589683472468398,AMP,Website Emissions.com
1.5626135403301802,AMP,Website Emissions.com
1.329180852139655,AMP,Website Emissions.com
0.9894020368331843,AMP,Website Emissions.com
1.6307237190880721,AMP,Website Emissions.com
1.6728872397719012,AMP,Website Emissions.com
1.3515669959187115,AMP,Website Emissions.com
1.9539509247975215,AMP,Website Emissions.com
1.209126865080247,non-AMP,Website Emissions.com
1.5091517034602893,non-AMP,Website Emissions.com
1.4625632299948332,non-AMP,Website Emissions.com
1.8065558428716915,non-AMP,Website Emissions.com
1.793871753980057,non-AMP,Website Emissions.com
1.5309894851393833,non-AMP,Website Emissions.com
1.5756325039204346,non-AMP,Website Emissions.com
1.3224428504739774,non-AMP,Website Emissions.com
1.1038407063552147,non-AMP,Website Emissions.com
1.4304175701347694,non-AMP,Website Emissions.com
1.531269793820796,non-AMP,Website Emissions.com
1.7460581361455443,non-AMP,Website Emissions.com
1.7404759697568823,non-AMP,Website Emissions.com
1.4225346365184095,non-AMP,Website Emissions.com
1.439539449884933,non-AMP,Website Emissions.com
1.2902894069865813,non-AMP,Website Emissions.com
1.2159964125642049,non-AMP,Website Emissions.com
1.1587459618749976,non-AMP,Website Emissions.com
1.890155079046358,non-AMP,Website Emissions.com
1.3980695636496694,non-AMP,Website Emissions.com
1.4123851396777627,non-AMP,Website Emissions.com
1.2494409279900147,non-AMP,Website Emissions.com
1.655498071166382,non-AMP,Website Emissions.com
1.1772204304884097,non-AMP,Website Emissions.com
1.4574519439572062,non-AMP,Website Emissions.com
1.5522667194031623,AMP,Website Carbon
2.193451248929631,AMP,Website Carbon
1.7445974312155634,AMP,Website Carbon
1.409683907938794,AMP,Website Carbon
1.9859088858306726,AMP,Website Carbon
2.2141659352652088,AMP,Website Carbon
2.033258611191584,AMP,Website Carbon
2.151235948869891,AMP,Website Carbon
1.6828389531595183,AMP,Website Carbon
1.818629417006431,AMP,Website Carbon
1.6637697761120245,AMP,Website Carbon
1.8202234192297293,AMP,Website Carbon
1.593426858977773,AMP,Website Carbon
1.1368586988341616,AMP,Website Carbon
2.088713071126876,AMP,Website Carbon
1.799109531895869,AMP,Website Carbon
1.1849008265169778,AMP,Website Carbon
2.2313911277628873,AMP,Website Carbon
1.546350817808379,AMP,Website Carbon
2.0259726978980694,AMP,Website Carbon
2.3645452810887684,AMP,Website Carbon
2.0644914553787053,AMP,Website Carbon
2.5697003422716502,AMP,Website Carbon
1.3825870898231738,AMP,Website Carbon
2.2011708205887746,AMP,Website Carbon
1.6575949545298434,AMP,Website Carbon
1.5646014254090592,AMP,Website Carbon
1.7105751676177923,AMP,Website Carbon
1.8442237339363137,AMP,Website Carbon
2.0280826711148725,AMP,Website Carbon
1.4174250796083219,AMP,Website Carbon
2.4504132434770938,AMP,Website Carbon
2.23283121986523,AMP,Website Carbon
1.2318781568613881,AMP,Website Carbon
2.7441260968977996,AMP,Website Carbon
